"id","UniProt"
318,"P61570"
319,"Q9HDB8"
320,"Q9UKH3"
321,"Q7Z7A3"
322,"Q03111"
323,"P0C2S0"
324,"Q6XXX2"
325,"A6NIU2"
326,"A6NM66"
327,"Q9NYP8"
328,"Q9H467"
329,"Q93034"
330,"O00574"
331,"Q07325"
332,"Q9UKL4"
333,"P25024"
334,"Q8NBI2"
335,"Q49AR2"
336,"P06493"
337,"Q96MH7"
338,"Q15517"
339,"Q92903"
340,"Q9C0D2"
341,"P19835"
342,"Q03188"
343,"Q6IPU0"
344,"Q92879"
345,"Q9H3R5"
346,"Q68CQ4"
347,"P49450"
348,"Q9BZC1"
349,"Q9Y592"
350,"Q71F23"
351,"Q6ZMG9"
352,"Q5T699"
353,"Q96MT4"
354,"Q6ZU64"
355,"Q5JQF7"
356,"P11597"
357,"P57076"
358,"Q9P2B7"
359,"Q9H8W2"
360,"Q0VF96"
361,"Q9UL16"
362,"P36222"
363,"Q8WYQ3"
364,"Q9BQ75"
365,"Q8N1G2"
366,"Q86XI2"
367,"Q8N3K9"
368,"Q96KN2"
369,"Q86U02"
370,"Q16281"
371,"Q8WXI2"
372,"Q8NE01"
373,"Q9H9A5"
374,"Q99439"
375,"Q15417"
376,"Q96LI5"
377,"A5YKK6"
378,"Q9Y2B0"
379,"Q9NZN8"
380,"O94779"
381,"Q9H4B8"
382,"P34972"
383,"Q92782"
384,"P26441"
385,"Q96EV8"
386,"P20674"
387,"Q8TEA8"
388,"Q96FN9"
389,"P10176"
390,"A6NNT2"
391,"Q6P387"
392,"Q7Z3J2"
393,"P05108"
394,"A8MZG2"
395,"Q8N4C9"
396,"Q9HBI6"
397,"A8MV24"
398,"Q9HCS2"
399,"Q9HCH3"
400,"Q9H799"
401,"P04632"
402,"P24903"
403,"P78329"
404,"P24462"
405,"A8MQB3"
406,"Q8TAV3"
407,"Q86W10"
408,"Q8NE35"
409,"Q6PUV4"
410,"P50416"
411,"Q17RY0"
412,"A0A087X1C5"
413,"Q5TCH4"
414,"P53673"
415,"P78560"
416,"Q9H0B8"
417,"Q86T23"
418,"Q8IUI8"
419,"A0A140G945"
420,"Q9Y2S2"
421,"Q15006"
422,"P04141"
423,"Q8NEV1"
424,"Q8WXD9"
425,"O14936"
426,"P41240"
427,"Q9UFG5"
428,"P30825"
429,"O43246"
430,"Q96P56"
431,"P40313"
432,"Q9N2J8"
433,"Q6UWT2"
434,"Q5SY80"
435,"P61565"
436,"P61566"
437,"Q9NWM3"
438,"A6NNW6"
439,"Q13620"
440,"Q86UP6"
441,"Q8WYQ4"
442,"Q9Y442"
443,"O95567"
444,"Q8N1L1"
445,"Q6P5X5"
446,"Q6IC83"
447,"C9J442"
448,"Q9P013"
449,"Q9HCG8"
450,"Q6UX04"
451,"O96002"
452,"Q8TB33"
453,"A6NGU7"
454,"Q5VT33"
455,"Q8TB03"
456,"A8MYA2"
457,"Q8TE69"
458,"Q96DE9"
459,"Q9H5V9"
460,"Q8TC92"
461,"Q5JRM2"
462,"Q86X51"
463,"Q8TF08"
464,"Q9Y6H8"
465,"P36383"
466,"Q5T442"
467,"Q8NFK1"
468,"P02778"
469,"Q9H2A7"
470,"P08574"
471,"Q9H2H0"
472,"P13236"
473,"P51686"
474,"P40259"
475,"P16070"
476,"Q6P1J9"
477,"P31358"
478,"Q5VXM1"
479,"Q86X02"
480,"Q16878"
481,"Q9Y6F8"
482,"Q9H6K1"
483,"Q5SZD1"
484,"Q8NHQ1"
485,"Q8IYW2"
486,"Q96EP1"
487,"Q96BP2"
488,"Q9Y6H1"
489,"Q5SXM8"
490,"O00429"
491,"Q9Y6K1"
492,"Q9UBC3"
493,"Q9UJW3"
494,"Q6XZF7"
495,"P26358"
496,"Q9ULA0"
497,"O43598"
498,"O00115"
499,"P49184"
500,"Q13609"
501,"P13765"
502,"Q96BY6"
503,"Q5JSL3"
504,"Q14184"
505,"Q14185"
506,"Q8IZD9"
507,"Q96N67"
508,"Q8NCQ2"
509,"Q9Y6Y1"
510,"Q9BPX3"
511,"Q6IBW4"
512,"P62633"
513,"Q8IZM0"
514,"Q86U37"
515,"Q4W4Y0"
516,"Q86TU6"
517,"Q9H972"
518,"Q9NWQ9"
519,"Q9NPU4"
520,"Q96I85"
521,"Q52M58"
522,"Q8N769"
523,"Q8WXQ3"
524,"P09543"
525,"Q15021"
526,"G9CGD6"
527,"Q9NQW8"
528,"Q12860"
529,"Q02246"
530,"P16444"
531,"Q8IWV2"
532,"Q9UQ52"
533,"Q9UIV1"
534,"Q8N815"
535,"Q9BZ76"
536,"Q9C0A0"
537,"Q8WUR7"
538,"Q9Y2V0"
539,"P02458"
540,"P08572"
541,"Q49MI3"
542,"Q9HC77"
543,"Q96BT3"
544,"Q8N0S6"
545,"Q96ST8"
546,"Q7Z7K6"
547,"Q9UKY3"
548,"Q8IYR0"
549,"P08603"
550,"P05156"
551,"Q86XR8"
552,"Q76N32"
553,"Q8WU49"
554,"Q99674"
555,"Q9Y6A4"
556,"Q96JM3"
557,"Q8TDI0"
558,"Q9HCK8"
559,"Q3L8U1"
560,"Q8NE62"
561,"Q5SY13"
562,"A6NFQ7"
563,"Q5T2R2"
564,"Q5JU00"
565,"Q8NEE6"
566,"Q8IY82"
567,"Q5VUJ9"
568,"Q9H095"
569,"P21728"
570,"P14416"
571,"Q86Y22"
572,"P21917"
573,"Q9NYL5"
574,"P08684"
575,"Q9H3G5"
576,"P17927"
577,"P20813"
578,"Q96BA8"
579,"O43768"
580,"O75355"
581,"O75356"
582,"Q9NQZ7"
583,"Q9NPA8"
584,"Q9Y6X5"
585,"O95925"
586,"P42566"
587,"Q14677"
588,"Q5JZY3"
589,"P54753"
590,"O15083"
591,"O43731"
592,"Q4G0M1"
593,"Q8IV48"
594,"A8K979"
595,"Q96RQ1"
596,"O43414"
597,"Q5W0A0"
598,"Q86X53"
599,"A1L162"
600,"Q5RHP9"
601,"A6NGS2"
602,"Q6P6B1"
603,"P61579"
604,"O75477"
605,"O94905"
606,"Q96PL5"
607,"P47775"
608,"Q76MJ5"
609,"Q14330"
610,"P46091"
611,"Q99679"
612,"Q8NDV2"
613,"B6SEH8"
614,"B6SEH9"
615,"Q8TE68"
616,"Q9H6S3"
617,"Q8TE67"
618,"Q96AP7"
619,"Q5FWF5"
620,"Q56NI9"
621,"O75715"
622,"Q96J88"
623,"Q6NXG1"
624,"P10768"
625,"P12544"
626,"P10144"
627,"Q8N693"
628,"P49863"
629,"Q6IC98"
630,"O75791"
631,"Q13588"
632,"Q9BSJ8"
633,"A0FGR8"
634,"A0FGR9"
635,"Q13322"
636,"Q3ZM63"
637,"P0DPP9"
638,"A0A1B0GVM5"
639,"P38117"
640,"Q6IPR1"
641,"Q3V6T2"
642,"P50549"
643,"P41162"
644,"P15036"
645,"Q9NYK6"
646,"P58658"
647,"P57679"
648,"Q9BZE7"
649,"P22794"
650,"Q9UI08"
651,"A8MZ36"
652,"P49640"
653,"Q03828"
654,"Q01844"
655,"Q86VI1"
656,"Q7LDG7"
657,"Q92772"
658,"Q14004"
659,"Q3KPI0"
660,"Q8NAS9"
661,"Q7Z6I8"
662,"P47902"
663,"P50613"
664,"P31997"
665,"Q96J87"
666,"Q6UXA7"
667,"O95873"
668,"Q9HD87"
669,"Q9P0P8"
670,"A6NFT4"
671,"Q7Z4R8"
672,"Q9C0B2"
673,"Q5T6M2"
674,"Q8NI28"
675,"Q9BPX7"
676,"Q16880"
677,"Q8N884"
678,"P13569"
679,"Q96MR6"
680,"Q8TD26"
681,"P25067"
682,"P0C0L4"
683,"P07360"
684,"P20849"
685,"P02462"
686,"P12110"
687,"Q9Y2R0"
688,"Q02388"
689,"Q15054"
690,"Q9HCU8"
691,"Q07864"
692,"P56282"
693,"Q9NRF9"
694,"Q9UHL4"
695,"Q9NY33"
696,"P27487"
697,"P23528"
698,"Q9Y281"
699,"Q6V1X1"
700,"Q86TI2"
701,"Q7L190"
702,"A6NC42"
703,"Q17RW2"
704,"Q8NHY2"
705,"Q9UII6"
706,"Q5RI15"
707,"P0DPQ6"
708,"Q494V2"
709,"Q9BSU1"
710,"Q6UX73"
711,"O75354"
712,"Q09472"
713,"Q9UM22"
714,"O95278"
715,"Q9HCE0"
716,"Q9H201"
717,"P29317"
718,"Q5T890"
719,"Q9H9Y4"
720,"Q2NKX8"
721,"P07992"
722,"P18074"
723,"P28715"
724,"Q03468"
725,"Q13216"
726,"P50548"
727,"Q14534"
728,"O76062"
729,"Q9UKR5"
730,"Q9Y282"
731,"P48449"
732,"Q969X5"
733,"Q7L0X2"
734,"O76042"
735,"O75460"
736,"P49685"
737,"Q13304"
738,"Q15760"
739,"Q96HE7"
740,"Q99680"
741,"O00155"
742,"Q96DN0"
743,"O00270"
744,"O75388"
745,"Q49SQ1"
746,"Q9UPC5"
747,"O43194"
748,"O15529"
749,"Q9Y5Y3"
750,"Q86YR5"
751,"P81274"
752,"Q8N954"
753,"P0DP91"
754,"P11474"
755,"Q96I76"
756,"O95718"
757,"P62508"
758,"Q9HCN6"
759,"Q9UJM3"
760,"P07203"
761,"P18283"
762,"P22352"
763,"Q9H501"
764,"Q96SL4"
765,"Q9NQ30"
766,"Q6ZVH7"
767,"P03372"
768,"Q6UWW8"
769,"Q5XG92"
770,"Q6NT32"
771,"O15544"
772,"P20718"
773,"P51124"
774,"P28676"
775,"Q4V328"
776,"Q8TC17"
777,"Q7Z6J2"
778,"Q9NY74"
779,"Q14449"
780,"Q9C091"
781,"P62993"
782,"Q14451"
783,"P13804"
784,"Q9GZT9"
785,"P01133"
786,"P0C7U0"
787,"P32519"
788,"P28324"
789,"Q9NYP7"
790,"Q9UJA9"
791,"Q9Y5L3"
792,"Q9UNN8"
793,"P54764"
794,"Q99814"
795,"P29322"
796,"P54762"
797,"O75616"
798,"P54760"
799,"Q8IUS5"
800,"Q15303"
801,"Q96RT1"
802,"P15170"
803,"P11308"
804,"P84090"
805,"Q96DZ1"
806,"Q8TAM6"
807,"Q7Z2K6"
808,"Q9BS26"
809,"Q99678"
810,"Q86YB8"
811,"Q9NS67"
812,"P30040"
813,"Q9HC97"
814,"O15354"
815,"P46089"
816,"P46093"
817,"Q9Y2T5"
818,"Q9Y2T6"
819,"Q9BZJ8"
820,"Q9BZJ7"
821,"Q9BZJ6"
822,"P46095"
823,"O95800"
824,"Q96P69"
825,"Q96P67"
826,"Q9NYM4"
827,"Q9NQS5"
828,"P60893"
829,"Q9BY21"
830,"Q9GZN0"
831,"Q6UWM5"
832,"Q13227"
833,"Q9Y4H4"
834,"Q9NWQ4"
835,"Q9BRR8"
836,"Q9NW75"
837,"Q5T3I0"
838,"Q9UKJ3"
839,"Q9H3H5"
840,"P40197"
841,"P36969"
842,"P0CJ86"
843,"P0CJ87"
844,"P0CJ88"
845,"P24046"
846,"Q14549"
847,"Q9Y2E6"
848,"Q5JST6"
849,"Q9BUP0"
850,"P57678"
851,"Q8TEQ6"
852,"Q8WXD5"
853,"P52803"
854,"P98172"
855,"P52799"
856,"P55040"
857,"Q17RS7"
858,"Q9NQX3"
859,"Q99684"
860,"Q3B7J2"
861,"Q14156"
862,"Q9Y2G0"
863,"O43281"
864,"Q86UU5"
865,"O95749"
866,"Q9H1K4"
867,"Q8N2G8"
868,"P49770"
869,"Q9H4M9"
870,"Q8N9N8"
871,"Q9NWU2"
872,"Q99944"
873,"Q63HQ2"
874,"Q8N140"
875,"A0A087WX78"
876,"A6NLF2"
877,"P19419"
878,"P41970"
879,"Q96BJ8"
880,"Q9BW60"
881,"Q9NXB9"
882,"Q99607"
883,"Q9HB03"
884,"Q9UKW6"
885,"P13284"
886,"Q8WWP7"
887,"Q9UG22"
888,"Q9NUV9"
889,"Q96F15"
890,"Q6P9H5"
891,"Q8NHV1"
892,"Q8ND71"
893,"P0DJR0"
894,"Q9NXP7"
895,"Q9NU53"
896,"O14908"
897,"Q8TF65"
898,"Q8TF64"
899,"P48546"
900,"P09681"
901,"Q9Y2X7"
902,"Q14161"
903,"Q5VSY0"
904,"Q9NS71"
905,"Q86XP6"
906,"P0CG01"
907,"Q6UWU2"
908,"Q58FF3"
909,"P14625"
910,"O95936"
911,"Q5NDL2"
912,"B3EWF7"
913,"O14638"
914,"Q14507"
915,"Q96L91"
916,"P54756"
917,"Q14236"
918,"Q9Y6I3"
919,"O95208"
920,"Q9NZ08"
921,"O15197"
922,"Q9H6B9"
923,"P21860"
924,"P19447"
925,"P38646"
926,"Q9H790"
927,"Q96A65"
928,"Q13868"
929,"O00167"
930,"O95677"
931,"Q9UBQ6"
932,"P15311"
933,"Q8TC76"
934,"Q8TAY7"
935,"Q9H098"
936,"Q6P1L5"
937,"Q9NQL9"
938,"Q07687"
939,"Q6PK57"
940,"Q96MA1"
941,"P80370"
942,"Q8N5C7"
943,"Q86Y01"
944,"Q16690"
945,"Q9NRD9"
946,"Q9Y6W6"
947,"O94808"
948,"Q6UXV0"
949,"A1L429"
950,"P0CL80"
951,"P0CL82"
952,"A6NER3"
953,"Q8N9W4"
954,"A6NEY3"
955,"A6NEF3"
956,"A8MZA4"
957,"A0A1B0GV03"
958,"A6NEM1"
959,"A6NI86"
960,"H0YKK7"
961,"H0YM25"
962,"Q9UJY5"
963,"Q9HBQ8"
964,"Q9UJY4"
965,"Q9NZ52"
966,"Q9BVM4"
967,"O75223"
968,"Q9UEU5"
969,"Q5JRK9"
970,"Q92820"
971,"Q5YKI7"
972,"Q9H3C7"
973,"A6NGU5"
974,"Q9H3K2"
975,"P18146"
976,"Q14152"
977,"Q6UWR7"
978,"Q8IYW4"
979,"Q13822"
980,"Q6UW88"
981,"Q99645"
982,"Q9NQ60"
983,"A6NHQ4"
984,"P19235"
985,"P01588"
986,"Q9UHW5"
987,"Q14956"
988,"P60509"
989,"P04626"
990,"O14944"
991,"P62495"
992,"P24390"
993,"Q8IYD1"
994,"P33947"
995,"Q7L7V1"
996,"Q00796"
997,"Q9Y5R6"
998,"Q9Y222"
999,"O95620"
1000,"A8MPY1"
1001,"Q16828"
1002,"Q9BY84"
1003,"Q96CN9"
1004,"Q9H596"
1005,"P33316"
1006,"O43812"
1007,"P0DPD8"
1008,"Q8IY85"
1009,"O14681"
1010,"Q9UHF1"
1011,"P41214"
1012,"Q13144"
1013,"P41567"
1014,"P55199"
1015,"O95163"
1016,"Q14576"
1017,"Q9H9T3"
1018,"Q96EB1"
1019,"Q5MY95"
1020,"Q9Y5R5"
1021,"Q9Y2H0"
1022,"Q4LDG9"
1023,"P24855"
1024,"Q7Z5Q5"
1025,"O75417"
1026,"P54098"
1027,"P06746"
1028,"C9JQL5"
1029,"Q8TD84"
1030,"P56555"
1031,"P14867"
1032,"P59022"
1033,"Q02487"
1034,"Q9NZJ0"
1035,"O14764"
1036,"Q99928"
1037,"Q9H0R8"
1038,"Q658K8"
1039,"P35573"
1040,"O95390"
1041,"Q96G04"
1042,"Q9UK05"
1043,"Q5U4N7"
1044,"Q9BUY7"
1045,"Q6NXP0"
1046,"P60507"
1047,"P60608"
1048,"Q9HAE3"
1049,"P36268"
1050,"P36269"
1051,"Q6P531"
1052,"Q9UJ14"
1053,"P49411"
1054,"Q14232"
1055,"Q9Y6B2"
1056,"O00472"
1057,"Q8TE02"
1058,"Q9HBU6"
1059,"Q0PNE2"
1060,"Q9NX74"
1061,"Q16829"
1062,"P51452"
1063,"Q92947"
1064,"Q9NRW4"
1065,"P16383"
1066,"Q8IUX8"
1067,"O15371"
1068,"Q96KQ7"
1069,"P17813"
1070,"Q8IVV7"
1071,"O75821"
1072,"Q9HB65"
1073,"Q13347"
1074,"Q3SY89"
1075,"Q9NVF9"
1076,"Q8IZ81"
1077,"Q92556"
1078,"Q15717"
1079,"P08246"
1080,"Q9GZR5"
1081,"Q9Y227"
1082,"Q9H2F5"
1083,"O95886"
1084,"P28067"
1085,"Q9GZS0"
1086,"Q8TDM6"
1087,"Q02742"
1088,"O95395"
1089,"Q6ZNI0"
1090,"Q9BSJ2"
1091,"Q8WXX0"
1092,"Q96JB1"
1093,"Q96RT7"
1094,"Q8WWB3"
1095,"Q96IM9"
1096,"Q6ZR08"
1097,"Q0VDD8"
1098,"Q9UFH2"
1099,"Q8TD57"
1100,"P63167"
1101,"P51808"
1102,"Q7RTS9"
1103,"P50570"
1104,"Q9Y463"
1105,"Q9UQ16"
1106,"Q86XF0"
1107,"Q92630"
1108,"O43781"
1109,"Q9NR20"
1110,"Q9NVP4"
1111,"Q8IYY4"
1112,"Q8N6F7"
1113,"Q9BQI3"
1114,"P19525"
1115,"Q16254"
1116,"Q15329"
1117,"Q9NZJ5"
1118,"Q9P2K8"
1119,"A0AVK6"
1120,"P23434"
1121,"Q9H4G0"
1122,"Q9HCM4"
1123,"Q96JC9"
1124,"Q96CJ1"
1125,"P0CF75"
1126,"P43026"
1127,"P13639"
1128,"Q6KF10"
1129,"A4FU69"
1130,"A8K855"
1131,"Q96RP9"
1132,"P07093"
1133,"Q8N9F7"
1134,"P51530"
1135,"P78352"
1136,"Q8N1N2"
1137,"P00374"
1138,"O75923"
1139,"Q03001"
1140,"A2CJ06"
1141,"Q86YF9"
1142,"Q86Y13"
1143,"O00716"
1144,"O75461"
1145,"Q96AV8"
1146,"Q01094"
1147,"O43491"
1148,"Q9Y2J2"
1149,"P43005"
1150,"O00341"
1151,"Q56P03"
1152,"Q9HAF1"
1153,"O95905"
1154,"P40939"
1155,"P55084"
1156,"Q86YB7"
1157,"Q96DC8"
1158,"P30084"
1159,"Q08426"
1160,"P42126"
1161,"O75521"
1162,"Q6UWP2"
1163,"Q9H6R0"
1164,"Q8NDZ4"
1165,"Q8N5I4"
1166,"O60879"
1167,"Q9H1X3"
1168,"Q9UKB3"
1169,"Q96SC8"
1170,"Q9P1A6"
1171,"Q86YH6"
1172,"Q8TF09"
1173,"Q92997"
1174,"P0DN84"
1175,"Q13838"
1176,"Q14397"
1177,"Q9NP62"
1178,"Q9P109"
1179,"Q96CW5"
1180,"Q9UGJ1"
1181,"Q96RT8"
1182,"Q9NYC9"
1183,"Q8NCM8"
1184,"P04150"
1185,"Q8TE73"
1186,"Q05193"
1187,"Q14209"
