UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
Q8BTM8	FLNA	ENSMUSG00000031328	Flna	DOID:13515|DOID:14711|DOID:1826|DOID:2256|DOID:2340|DOID:423|DOID:988
Q8BTP0	PIGZ	ENSMUSG00000045625	Pigz	DOID:162
Q8BTV1	TUSC3	ENSMUSG00000039530	Tusc3	DOID:10283
Q8BTW9	PAK4	ENSMUSG00000030602	Pak4	DOID:4467
Q8BUE1	SL9A4	ENSMUSG00000026065	Slc9a4	DOID:585
Q8BUE7	MUC20	ENSMUSG00000035638	Muc20	DOID:2986
Q8BUG2	CNDP1	ENSMUSG00000056162	Cndp1	DOID:2921
Q8BUN5	SMAD3	ENSMUSG00000032402	Smad3	DOID:0060071|DOID:10283|DOID:1380|DOID:1793|DOID:3883|DOID:8398
Q8BUR4	DOCK1	ENSMUSG00000058325	Dock1	DOID:11198|DOID:6419
Q8BUV3	GEPH	ENSMUSG00000047454	Gphn	DOID:655
Q8BUW1	Q8BUW1	ENSMUSG00000033854	Kcnk10	DOID:2316
Q8BUY8	GASP2	ENSMUSG00000072966	Gprasp2	DOID:1059
Q8BVD2	Q8BVD2	ENSMUSG00000096852	Cyp2d12	DOID:1596|DOID:2048|DOID:2841|DOID:4483|DOID:9119|DOID:9952
Q8BVE3	VATH	ENSMUSG00000033793	Atp6v1h	DOID:11476
Q8BVI4	DHPR	ENSMUSG00000015806	Qdpr	DOID:10763|DOID:1824|DOID:9281
Q8BVK9	SP110	ENSMUSG00000070034	Sp110	DOID:399
Q8BVZ1	PLIN5	ENSMUSG00000011305	Plin5	DOID:9970
Q8BVZ5	IL33	ENSMUSG00000024810	Il33	DOID:10652
Q8BW72	KDM4A	ENSMUSG00000033326	Kdm4a	DOID:10283|DOID:11054|DOID:1324|DOID:1612|DOID:5517|DOID:986
Q8BW74	HLF	ENSMUSG00000003949	Hlf	DOID:9952
Q8BW75	AOFB	ENSMUSG00000040147	Maob	DOID:10652|DOID:13580|DOID:14330
Q8BW88	PKHS1	ENSMUSG00000035818	Plekhs1	DOID:10603
Q8BWA5	KLH31	ENSMUSG00000044938	Klhl31	DOID:14717
Q8BWF0	SSDH	ENSMUSG00000035936	Aldh5a1	DOID:1826
Q8BWF2	GIMA5	ENSMUSG00000043505	Gimap5	DOID:614|DOID:9744
Q8BWG8	ARRB1	ENSMUSG00000018909	Arrb1	DOID:0060180|DOID:1470|DOID:6000
Q8BWJ3	KPB2	ENSMUSG00000031295	Phka2	DOID:2747
Q8BWY2	CLC1A	ENSMUSG00000033082	Clec1a	DOID:13564
Q8BX20	Q8BX20	NA	Eif1ad7	DOID:6039
Q8BX22	SALL4	ENSMUSG00000027547	Sall4	DOID:10754|DOID:12557|DOID:1657|DOID:687
Q8BX43	TR19L	ENSMUSG00000008318	Relt	DOID:2187
Q8BX51	SGCZ	ENSMUSG00000039539	Sgcz	DOID:0050700|DOID:9884
Q8BXG3	IFT57	ENSMUSG00000032965	Ift57	DOID:4501
