UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
A0A023IKK2	A0A023IKK2	ENSRNOG00000030431	RT1-Db2	DOID:10003|DOID:1024|DOID:10283|DOID:104|DOID:10608|DOID:10652|DOID:10983|DOID:11335|DOID:11656|DOID:11713|DOID:12029|DOID:1205|DOID:1210|DOID:12297|DOID:12306|DOID:12361|DOID:12662|DOID:12849|DOID:12894|DOID:13025|DOID:13141|DOID:13166|DOID:13241|DOID:13258|DOID:13375|DOID:13774|DOID:1389|DOID:1395|DOID:14040|DOID:14115|DOID:14330|DOID:1459|DOID:1555|DOID:1586|DOID:1612|DOID:1686|DOID:2048|DOID:2377|DOID:2841|DOID:289|DOID:2945|DOID:2957|DOID:2988|DOID:3459|DOID:3492|DOID:399|DOID:417|DOID:437|DOID:4450|DOID:5082|DOID:526|DOID:633|DOID:639|DOID:676|DOID:7147|DOID:7148|DOID:7188|DOID:750|DOID:7693|DOID:8869|DOID:8924|DOID:8929|DOID:8947|DOID:8986|DOID:8991|DOID:9074|DOID:9182|DOID:9415|DOID:9744|DOID:9849
A0A087WPC3	A0A087WPC3	ENSMUSG00000083138	Cyp4a29	DOID:10763
A0A087WPF7	AUTS2	ENSMUSG00000029673	Auts2	DOID:1574
A0A087WS15	A0A087WS15	ENSMUSG00000084346	Cyp4a30b	DOID:10763
A0A096MIX7	A0A096MIX7	ENSRNOG00000000861	Zic3	DOID:758
A0A096MJ68	A0A096MJ68	ENSRNOG00000046699	Slpi	DOID:11612|DOID:2945|DOID:3083|DOID:3525|DOID:5844
A0A096MJE4	A0A096MJE4	ENSRNOG00000054129	Ctla4	DOID:10325|DOID:10608|DOID:11335|DOID:12132|DOID:12236|DOID:12306|DOID:12361|DOID:12365|DOID:12894|DOID:13241|DOID:1612|DOID:1749|DOID:1909|DOID:2043|DOID:2048|DOID:2377|DOID:2513|DOID:2841|DOID:3083|DOID:3310|DOID:4450|DOID:4483|DOID:557|DOID:5844|DOID:612|DOID:684|DOID:718|DOID:7188|DOID:7442|DOID:783|DOID:820|DOID:8893|DOID:9074|DOID:9119|DOID:9383|DOID:9538|DOID:9744|DOID:986
A0A096MJG3	A0A096MJG3	ENSRNOG00000014464	Tnfsf13b	DOID:12894|DOID:2986
A0A096MJG5	A0A096MJG5	ENSRNOG00000033527	Pappa1	DOID:10763|DOID:2349|DOID:3393|DOID:3407|DOID:5844|DOID:90|DOID:9352
A0A096MJM7	A0A096MJM7	ENSRNOG00000020339	Neurl1	DOID:11832
A0A096MJN4	SEPT4	ENSRNOG00000007367	Sept4	DOID:12217|DOID:14330
A0A096MJP9	A0A096MJP9	ENSRNOG00000012274	Ddi2	DOID:9970
A0A096MJS9	A0A096MJS9	ENSRNOG00000015921	Esco2	DOID:5325
A0A096MJU6	A0A096MJU6	ENSRNOG00000000323	Prdm1	DOID:9074
A0A096MJY4	MEF2C	ENSRNOG00000033134	Mef2c	DOID:1059|DOID:1824|DOID:5844
A0A096MK39	A0A096MK39	ENSRNOG00000015253	Hsf4	DOID:83
A0A096MK92	A0A096MK92	ENSRNOG00000009278	Ift88	DOID:898
A0A096MKE9	A0A096MKE9	ENSRNOG00000021815	Lig3	DOID:1793
A0A096MKF8	A0A096MKF8	ENSRNOG00000003848	Med12	DOID:1470|DOID:14711|DOID:1967|DOID:591|DOID:9970
A0A0A0MY24	A0A0A0MY24	ENSRNOG00000046301	Gzmbl3	DOID:0080600|DOID:2799|DOID:3083
A0A0B4J1F6	A0A0B4J1F6	ENSMUSG00000046974	BC053393	DOID:10825|DOID:11111|DOID:12556|DOID:1591|DOID:1920|DOID:2378|DOID:2841|DOID:2986|DOID:3021|DOID:3310|DOID:4450|DOID:557|DOID:9620
A0A0B4J1G0	FCG3A	ENSMUSG00000059089	Fcgr4	DOID:11832|DOID:1205|DOID:13241|DOID:13375|DOID:1389|DOID:1587|DOID:2377|DOID:2841|DOID:2921|DOID:2986|DOID:3393|DOID:4481|DOID:526|DOID:552|DOID:614|DOID:633|DOID:7147|DOID:7148|DOID:848|DOID:8778|DOID:8924|DOID:9074
A0A0G2JDS2	A0A0G2JDS2	ENSMUSG00000043873	Chil5	DOID:2841
A0A0G2JSI4	A0A0G2JSI4	ENSRNOG00000004489	Adgre5	DOID:1554|DOID:1793
A0A0G2JSK1	A0A0G2JSK1	ENSRNOG00000010410	Serpina3c	DOID:11394|DOID:11949|DOID:1485|DOID:2945|DOID:3083|DOID:3910|DOID:865
A0A0G2JSV3	A0A0G2JSV3	ENSRNOG00000056011	LOC314140	DOID:10584|DOID:13189
A0A0G2JSV6	A0A0G2JSV6	ENSRNOG00000047321	Hba-a2	DOID:1099
A0A0G2JT53	A0A0G2JT53	ENSRNOG00000016874	Zfp521	DOID:5419
A0A0G2JT78	A0A0G2JT78	ENSRNOG00000009198	Rab6b	DOID:8466
A0A0G2JT82	A0A0G2JT82	ENSRNOG00000056580	En1	DOID:14330
A0A0G2JT90	A0A0G2JT90	ENSRNOG00000014875	Ash2l	DOID:5419
A0A0G2JTB2	A0A0G2JTB2	ENSRNOG00000051232	Gbe1	DOID:2750|DOID:2957
A0A0G2JTI7	A0A0G2JTI7	ENSRNOG00000025629	Prpf3	DOID:10584
A0A0G2JTM3	A0A0G2JTM3	ENSRNOG00000006867	Etv1	DOID:3312|DOID:9970
A0A0G2JTM7	A0A0G2JTM7	ENSRNOG00000014419	Brd7	DOID:2152|DOID:3068|DOID:3069|DOID:3070|DOID:3908|DOID:9119
A0A0G2JTM9	A0A0G2JTM9	ENSRNOG00000060107	Dnajb14	DOID:12858
A0A0G2JTN4	A0A0G2JTN4	ENSRNOG00000005193	Pfas	DOID:684
A0A0G2JTU1	A0A0G2JTU1	ENSRNOG00000030017	Ercc6	DOID:1324|DOID:224|DOID:2962|DOID:3525|DOID:4448|DOID:5426
A0A0G2JTU9	A0A0G2JTU9	ENSRNOG00000010591	Kdm5a	DOID:10283|DOID:1059|DOID:11383|DOID:1612|DOID:3908|DOID:5517|DOID:7147|DOID:986
A0A0G2JTY3	A0A0G2JTY3	ENSRNOG00000011361	Slc37a4	DOID:2749
A0A0G2JTZ2	SOX6	ENSRNOG00000020514	Sox6	DOID:10652|DOID:114|DOID:3070
A0A0G2JU05	A0A0G2JU05	ENSRNOG00000004834	Llgl2	DOID:162|DOID:305
A0A0G2JU33	A0A0G2JU33	ENSRNOG00000061603	Asxl1	DOID:4797|DOID:4971|DOID:9119
A0A0G2JU45	A0A0G2JU45	ENSRNOG00000007785	Trmt5	DOID:11984|DOID:12678|DOID:3650|DOID:3762|DOID:699
A0A0G2JUA5	A0A0G2JUA5	ENSRNOG00000057569	Ahnak	DOID:417
A0A0G2JUJ3	A0A0G2JUJ3	ENSRNOG00000058856	Tslp	DOID:10459|DOID:1273
A0A0G2JUM3	A0A0G2JUM3	ENSRNOG00000025428	Rp2	DOID:10584
A0A0G2JUZ0	A0A0G2JUZ0	ENSRNOG00000002697	Mtmr1	DOID:423
A0A0G2JUZ5	A0A0G2JUZ5	ENSRNOG00000011599	Gldc	DOID:10534|DOID:9268
A0A0G2JV04	GGA3	ENSRNOG00000027057	Gga3	DOID:1289|DOID:3211
A0A0G2JV24	A0A0G2JV24	ENSRNOG00000045829	Thbs1	DOID:0080600|DOID:10283|DOID:11054|DOID:114|DOID:1793|DOID:3587|DOID:4947|DOID:5844|DOID:8947|DOID:9970
A0A0G2JVC1	A0A0G2JVC1	ENSRNOG00000006304	Mdm2	DOID:11054|DOID:1115|DOID:1612|DOID:1697|DOID:2055|DOID:224|DOID:3068|DOID:3587|DOID:3669|DOID:409|DOID:4947|DOID:4989|DOID:684|DOID:8552|DOID:9119|DOID:9286
A0A0G2JVD9	A0A0G2JVD9	ENSRNOG00000004444	Ikzf1	DOID:12177
A0A0G2JVH5	A0A0G2JVH5	ENSRNOG00000000082	Hltf	DOID:3119
A0A0G2JVQ2	A0A0G2JVQ2	ENSRNOG00000018468	Ldb1	DOID:9467
A0A0G2JVS9	A0A0G2JVS9	ENSRNOG00000052814	Ankrd27	DOID:13922
A0A0G2JVZ6	A0A0G2JVZ6	ENSRNOG00000004912	Itgav	DOID:10763|DOID:11382|DOID:326|DOID:4195|DOID:4248|DOID:7693|DOID:9119
A0A0G2JW03	A0A0G2JW03	ENSRNOG00000004377	Lpin1	DOID:11981|DOID:783|DOID:811
A0A0G2JW59	A0A0G2JW59	ENSRNOG00000054764	Flt3	DOID:10283|DOID:4971|DOID:9119|DOID:9952
A0A0G2JW72	A0A0G2JW72	ENSRNOG00000013428	Atp6v0a4	DOID:14219
A0A0G2JW78	A0A0G2JW78	ENSRNOG00000009972	Rara	DOID:332|DOID:3324
A0A0G2JW79	A0A0G2JW79	ENSRNOG00000005747	Il27ra	DOID:418
A0A0G2JWC7	A0A0G2JWC7	ENSRNOG00000009102	Fermt2	DOID:9119
A0A0G2JWD0	A0A0G2JWD0	ENSRNOG00000003098	Prom1	DOID:8466|DOID:9351
A0A0G2JWD6	A0A0G2JWD6	ENSRNOG00000010624	Ap3b1	DOID:1227|DOID:2223|DOID:3082|DOID:3753|DOID:3770
A0A0G2JWE9	A0A0G2JWE9	ENSRNOG00000001652	Erg	DOID:5453|DOID:8398|DOID:8692
A0A0G2JWF0	A0A0G2JWF0	ENSRNOG00000021614	Kmt2e	DOID:10283|DOID:12849|DOID:1612|DOID:4362|DOID:526
A0A0G2JWG1	A0A0G2JWG1	ENSRNOG00000012055	Man2a2	DOID:5419
A0A0G2JWG6	A0A0G2JWG6	ENSRNOG00000030314	Golgb1	DOID:674
A0A0G2JWL4	A0A0G2JWL4	ENSRNOG00000057945	Fancg	DOID:13636|DOID:1793
A0A0G2JWM7	A0A0G2JWM7	ENSRNOG00000056251	Ifnl1	DOID:1588|DOID:1883|DOID:5082
A0A0G2JWR6	A0A0G2JWR6	ENSRNOG00000054879	Zic2	DOID:4621
A0A0G2JWT6	A0A0G2JWT6	ENSRNOG00000006539	Pex16	DOID:905
A0A0G2JWX9	A0A0G2JWX9	ENSRNOG00000060831	Clca1	DOID:1485|DOID:2841|DOID:3083
A0A0G2JX01	A0A0G2JX01	ENSRNOG00000014879	Ttc7a	DOID:14671
A0A0G2JX31	A0A0G2JX31	ENSRNOG00000019986	Pot1	DOID:3070|DOID:6846
A0A0G2JX72	A0A0G2JX72	ENSRNOG00000014076	Mbnl1	DOID:450|DOID:5419
A0A0G2JX93	A0A0G2JX93	NA	Stat1	DOID:10223|DOID:12236|DOID:12297|DOID:12894|DOID:13241|DOID:1577|DOID:1580|DOID:1612|DOID:2048|DOID:2154|DOID:2526|DOID:2841|DOID:2986|DOID:3083|DOID:3314|DOID:3319|DOID:3459|DOID:3770|DOID:418|DOID:684|DOID:8541|DOID:8893|DOID:9008|DOID:9074|DOID:9970
A0A0G2JX95	A0A0G2JX95	ENSRNOG00000020792	Etv4	DOID:3312|DOID:9970
A0A0G2JXC5	A0A0G2JXC5	ENSRNOG00000018803	Mrtfa	DOID:8761
A0A0G2JXI1	A0A0G2JXI1	ENSRNOG00000057855	F5	DOID:0060903|DOID:10003|DOID:10159|DOID:10591|DOID:10762|DOID:11512|DOID:1612|DOID:1727|DOID:2216|DOID:2237|DOID:2920|DOID:3526|DOID:5082|DOID:5844|DOID:6432|DOID:783|DOID:9477|DOID:999
A0A0G2JXI7	A0A0G2JXI7	ENSRNOG00000022804	Foxp4	DOID:6000
A0A0G2JXJ1	A0A0G2JXJ1	ENSRNOG00000008971	Hnf4g	DOID:9970
A0A0G2JXR2	A0A0G2JXR2	ENSRNOG00000020630	Il9r	DOID:1485|DOID:2841
A0A0G2JXT6	MTMR6	ENSRNOG00000012918	Mtmr6	DOID:14717
A0A0G2JXT8	A0A0G2JXT8	ENSRNOG00000009470	Flnb	DOID:11836|DOID:14764|DOID:2256|DOID:423|DOID:674
A0A0G2JXZ4	A0A0G2JXZ4	ENSRNOG00000045838	Hps1	DOID:2223
A0A0G2JXZ9	A0A0G2JXZ9	ENSRNOG00000034025	Ptprj	DOID:10763|DOID:9256
A0A0G2JY07	A0A0G2JY07	ENSRNOG00000014336	Mcm5	DOID:1574
A0A0G2JY26	A0A0G2JY26	ENSRNOG00000052887	Dnajc6	DOID:14330
A0A0G2JY48	A0A0G2JY48	ENSRNOG00000012531	Ephb2	DOID:2218
A0A0G2JY62	A0A0G2JY62	ENSRNOG00000014876	Lpin2	DOID:3146|DOID:9970
A0A0G2JYF9	A0A0G2JYF9	ENSRNOG00000056141	Matn3	DOID:2256|DOID:8398
A0A0G2JYI0	A0A0G2JYI0	ENSRNOG00000023453	Lrba	DOID:12177
A0A0G2JYM0	A0A0G2JYM0	ENSRNOG00000059166	Ldb3	DOID:11720|DOID:11722|DOID:12930
A0A0G2JYU3	A0A0G2JYU3	ENSRNOG00000060105	Astn2	DOID:5419
A0A0G2JZ04	A0A0G2JZ04	ENSRNOG00000052062	Tut4	DOID:1612
A0A0G2JZ71	A0A0G2JZ71	ENSRNOG00000055714	Ak7	DOID:10908
A0A0G2JZ79	SIR1	NA	Sirt1	DOID:10283|DOID:10652|DOID:11476|DOID:12387|DOID:12858|DOID:14330|DOID:1574|DOID:1826|DOID:1875|DOID:1936|DOID:3021|DOID:3525|DOID:4448|DOID:5844|DOID:9351|DOID:9352|DOID:9452|DOID:9970
A0A0G2JZ84	A0A0G2JZ84	ENSRNOG00000052894	Epg5	DOID:10584|DOID:332
A0A0G2JZA1	A0A0G2JZA1	ENSRNOG00000029598	Robo2	DOID:9620
A0A0G2JZG8	A0A0G2JZG8	ENSRNOG00000012140	Cep89	DOID:1289|DOID:3762
A0A0G2JZH0	A0A0G2JZH0	ENSRNOG00000017297	Cab39	DOID:162|DOID:1793|DOID:224|DOID:684|DOID:7998
A0A0G2JZL2	A0A0G2JZL2	ENSRNOG00000058652	Akp3	DOID:0050589|DOID:8577|DOID:8778
A0A0G2JZL6	A0A0G2JZL6	ENSRNOG00000010952	Ift122	DOID:8466
A0A0G2JZS3	A0A0G2JZS3	ENSRNOG00000019662	Tm6sf1	DOID:9452
A0A0G2JZU6	A0A0G2JZU6	ENSRNOG00000016623	Tmeff2	DOID:10283|DOID:11054
A0A0G2JZW4	A0A0G2JZW4	ENSRNOG00000033791	Apc2	DOID:14748|DOID:9256
A0A0G2JZZ5	A0A0G2JZZ5	ENSRNOG00000005642	Frs2	DOID:4450
A0A0G2K001	A0A0G2K001	ENSRNOG00000015621	Nsd3	DOID:8692
A0A0G2K014	A0A0G2K014	ENSRNOG00000010319	Lcp1	DOID:12858
A0A0G2K046	A0A0G2K046	ENSRNOG00000000383	Mypn	DOID:397
A0A0G2K098	A0A0G2K098	ENSRNOG00000011271	Mcc	DOID:9256
A0A0G2K0H3	A0A0G2K0H3	ENSRNOG00000006338	Lrp6	DOID:9452
A0A0G2K0K3	A0A0G2K0K3	ENSRNOG00000020541	Nprl3	DOID:2234
A0A0G2K0V6	A0A0G2K0V6	ENSRNOG00000029273	E2f3	DOID:10283|DOID:3070|DOID:3907|DOID:3908|DOID:3910
A0A0G2K134	A0A0G2K134	ENSRNOG00000052407	Btk	DOID:14179|DOID:2583
A0A0G2K149	A0A0G2K149	ENSRNOG00000027233	Trpc5	DOID:1289
A0A0G2K161	A0A0G2K161	ENSRNOG00000010037	Epb41	DOID:2373
A0A0G2K171	A0A0G2K171	ENSRNOG00000057256	Slc19a3	DOID:784
A0A0G2K1A2	A0A0G2K1A2	ENSRNOG00000008310	Mpo	DOID:1287|DOID:1324|DOID:1485|DOID:1591|DOID:161|DOID:1679|DOID:1793|DOID:2841|DOID:2921|DOID:3021|DOID:3082|DOID:3083|DOID:5082|DOID:684|DOID:783|DOID:850|DOID:865|DOID:874
A0A0G2K1B6	A0A0G2K1B6	ENSRNOG00000002983	Nf1x	DOID:14748
A0A0G2K1E3	A0A0G2K1E3	ENSRNOG00000055525	Kmt2b	DOID:10283|DOID:1612|DOID:543|DOID:684
A0A0G2K1F7	A0A0G2K1F7	ENSRNOG00000059219	Myo15a	DOID:10003
A0A0G2K1K5	A0A0G2K1K5	ENSRNOG00000022482	Trappc11	DOID:9452
A0A0G2K1L0	A0A0G2K1L0	ENSRNOG00000058645	Tnc	DOID:10320|DOID:11204|DOID:13100|DOID:1324|DOID:2841|DOID:3068|DOID:3070|DOID:4947|DOID:552|DOID:5844|DOID:6432|DOID:841
A0A0G2K1L6	A0A0G2K1L6	ENSRNOG00000000661	Hps4	DOID:2223|DOID:3753|DOID:5419
A0A0G2K1M7	A0A0G2K1M7	ENSRNOG00000006995	Ano6	DOID:0050589|DOID:7147
A0A0G2K1P1	A0A0G2K1P1	ENSRNOG00000011420	Mtmr7	DOID:14717
A0A0G2K1Q8	ABCA3	ENSRNOG00000050057	Abca3	DOID:12120
A0A0G2K1R4	A0A0G2K1R4	ENSRNOG00000053850	Rdh5	DOID:11105|DOID:8499
A0A0G2K1T7	A0A0G2K1T7	ENSRNOG00000001830	Arntl2	DOID:10763|DOID:9352
A0A0G2K1V7	A0A0G2K1V7	ENSRNOG00000002135	Sgcb	DOID:9884
A0A0G2K1Z1	A0A0G2K1Z1	ENSRNOG00000052445	Kdm7a	DOID:1909
A0A0G2K210	A0A0G2K210	ENSRNOG00000016818	Fgfr3	DOID:11054|DOID:13481|DOID:1612|DOID:2340|DOID:2671|DOID:2893|DOID:3371|DOID:3965|DOID:4006|DOID:4480|DOID:5520|DOID:8552|DOID:8649|DOID:9256
A0A0G2K250	A0A0G2K250	ENSRNOG00000020927	Tulp2	DOID:9970
A0A0G2K2A4	A0A0G2K2A4	ENSRNOG00000055858	Myb	DOID:224
A0A0G2K2B5	A0A0G2K2B5	ENSRNOG00000007445	Asph	DOID:4947
A0A0G2K2C0	A0A0G2K2C0	ENSRNOG00000057031	Six3	DOID:4621
A0A0G2K2H4	A0A0G2K2H4	ENSRNOG00000012864	Ern1	DOID:684|DOID:8557
A0A0G2K2M9	A0A0G2K2M9	ENSRNOG00000058561	Srrm2	DOID:14330
A0A0G2K2P5	ZO1	ENSRNOG00000011077	Tjp1	DOID:13141|DOID:13580|DOID:13976|DOID:2316|DOID:4606|DOID:4948|DOID:8677|DOID:936
A0A0G2K2R5	A0A0G2K2R5	ENSRNOG00000020587	Efemp2	DOID:3144|DOID:3627
A0A0G2K2U9	A0A0G2K2U9	ENSRNOG00000016225	Fgd3	DOID:10595|DOID:6683
A0A0G2K2Y2	A0A0G2K2Y2	ENSRNOG00000002537	Wnk3	DOID:4479
A0A0G2K309	ORNT1	ENSRNOG00000011881	Slc25a15	DOID:9252|DOID:9273
A0A0G2K344	PK3CA	ENSRNOG00000056371	Pik3ca	DOID:1612|DOID:1984|DOID:2394|DOID:6457|DOID:6498|DOID:684|DOID:9256
A0A0G2K358	A0A0G2K358	ENSRNOG00000028688	Ctns	DOID:1064
A0A0G2K3A4	A0A0G2K3A4	ENSRNOG00000056817	Muc6	DOID:10808|DOID:1793|DOID:3030|DOID:4947
A0A0G2K3B7	A0A0G2K3B7	ENSRNOG00000015750	Wnt7b	DOID:11054|DOID:1612|DOID:1618
A0A0G2K3H5	A0A0G2K3H5	ENSRNOG00000032254	Sin3a	DOID:12858|DOID:162|DOID:224
A0A0G2K3K5	A0A0G2K3K5	ENSRNOG00000008283	B4galt5	DOID:2377
A0A0G2K3P6	A0A0G2K3P6	ENSRNOG00000021199	Fcgr1a	DOID:7148
A0A0G2K3R5	A0A0G2K3R5	ENSRNOG00000055650	Pou2f2	DOID:2914
A0A0G2K3V6	A0A0G2K3V6	ENSRNOG00000053042	LOC103694540	DOID:9206
A0A0G2K3Y6	A0A0G2K3Y6	ENSRNOG00000033169	Cpeb4	DOID:10762|DOID:12236|DOID:5082
A0A0G2K426	A0A0G2K426	NA	Kmt2c	DOID:10283|DOID:1749|DOID:3748|DOID:5517
A0A0G2K449	A0A0G2K449	ENSRNOG00000012110	Col17a1	DOID:3209|DOID:8506
A0A0G2K470	A0A0G2K470	ENSRNOG00000058111	Itga2	DOID:0060903|DOID:10003|DOID:11758|DOID:13241|DOID:1588|DOID:1727|DOID:2219|DOID:2349|DOID:5844|DOID:8805|DOID:8947|DOID:9351|DOID:9352
A0A0G2K475	A0A0G2K475	ENSRNOG00000059997	Brip1	DOID:10652|DOID:13636|DOID:14250|DOID:1588|DOID:1612|DOID:3459|DOID:9256
A0A0G2K4A8	A0A0G2K4A8	ENSRNOG00000056343	Lats2	DOID:0060072|DOID:1289|DOID:162|DOID:3193
A0A0G2K4C0	A0A0G2K4C0	ENSRNOG00000021886	B4galt7	DOID:13359
A0A0G2K4F6	A0A0G2K4F6	ENSRNOG00000018194	Srrm1	DOID:11714
A0A0G2K4I9	A0A0G2K4I9	ENSRNOG00000013684	F11	DOID:0060903|DOID:2229|DOID:3490
A0A0G2K4P8	A0A0G2K4P8	ENSRNOG00000023456	Rnf41	DOID:1289
A0A0G2K4Q5	A0A0G2K4Q5	ENSRNOG00000018287	RGD1307603	DOID:0060071|DOID:10283|DOID:1037|DOID:10591|DOID:10652|DOID:10873|DOID:11054|DOID:11476|DOID:1205|DOID:12361|DOID:14067|DOID:14330|DOID:1579|DOID:1612|DOID:1749|DOID:1793|DOID:1909|DOID:2377|DOID:2394|DOID:2841|DOID:2998|DOID:3021|DOID:3069|DOID:3070|DOID:3083|DOID:3310|DOID:3407|DOID:3587|DOID:3602|DOID:3748|DOID:3770|DOID:3908|DOID:409|DOID:4450|DOID:4467|DOID:480|DOID:4947|DOID:4961|DOID:574|DOID:684|DOID:74|DOID:8283|DOID:850|DOID:8692|DOID:8893|DOID:9119|DOID:9352|DOID:9471|DOID:9538|DOID:9675|DOID:9952|DOID:9970
A0A0G2K4S7	A0A0G2K4S7	ENSRNOG00000008688	Usp45	DOID:14791
A0A0G2K4T6	A0A0G2K4T6	ENSRNOG00000025882	Nipal1	DOID:2476
A0A0G2K4Z7	A0A0G2K4Z7	ENSRNOG00000014124	Nod2	DOID:0060180|DOID:1024|DOID:1324|DOID:13241|DOID:1612|DOID:2378|DOID:2394|DOID:2596|DOID:2799|DOID:2841|DOID:2957|DOID:2987|DOID:3083|DOID:3393|DOID:3525|DOID:4029|DOID:417|DOID:4481|DOID:4483|DOID:4989|DOID:5295|DOID:8778|DOID:9074
A0A0G2K5A7	A0A0G2K5A7	ENSRNOG00000021143	Setdb1	DOID:10283|DOID:12849|DOID:12858|DOID:1324|DOID:1909|DOID:3070|DOID:5419
A0A0G2K5B0	A0A0G2K5B0	ENSRNOG00000052204	Tbc1d24	DOID:11832|DOID:1289
A0A0G2K5C9	A0A0G2K5C9	ENSRNOG00000059295	Selenoi	DOID:2476
A0A0G2K5E6	A0A0G2K5E6	ENSRNOG00000021406	LOC108351936	DOID:162|DOID:8566
A0A0G2K5I7	A0A0G2K5I7	ENSRNOG00000019956	Kdm4a	DOID:10283|DOID:11054|DOID:1324|DOID:1612|DOID:5517|DOID:986
A0A0G2K5L1	A0A0G2K5L1	ENSRNOG00000030954	Fat1	DOID:11727|DOID:1184
A0A0G2K5N8	A0A0G2K5N8	ENSRNOG00000022307	Acap3	DOID:162
A0A0G2K5V8	A0A0G2K5V8	ENSRNOG00000018198	Dapk1	DOID:11054
A0A0G2K5X2	A0A0G2K5X2	ENSRNOG00000001478	Gtf2ird1	DOID:1928
A0A0G2K618	A0A0G2K618	ENSRNOG00000013742	Large1	DOID:11727
A0A0G2K628	A0A0G2K628	ENSRNOG00000055340	Ski	DOID:2340
A0A0G2K654	A0A0G2K654	ENSRNOG00000054978	Hist1h1c	DOID:9952
A0A0G2K684	A0A0G2K684	ENSRNOG00000034164	Cr2	DOID:12177|DOID:9074
A0A0G2K6D0	A0A0G2K6D0	ENSRNOG00000052721	Kdm6a	DOID:10283|DOID:1612|DOID:3748|DOID:4450|DOID:9952
A0A0G2K6E0	A0A0G2K6E0	ENSRNOG00000012630	Rhoc	DOID:1612|DOID:4001
A0A0G2K6E8	A0A0G2K6E8	ENSRNOG00000002749	Spag9	DOID:1380|DOID:5082|DOID:684
A0A0G2K6G9	A0A0G2K6G9	ENSRNOG00000060544	Kdm5b	DOID:10283|DOID:11054|DOID:1612|DOID:3070|DOID:3748|DOID:6039
A0A0G2K6M8	A0A0G2K6M8	ENSRNOG00000018144	Depdc5	DOID:162|DOID:2234
A0A0G2K6Q8	A0A0G2K6Q8	ENSRNOG00000061238	Wnt10b	DOID:9970
A0A0G2K6W6	A0A0G2K6W6	ENSRNOG00000018931	Dis3l2	DOID:2154
A0A0G2K742	A0A0G2K742	ENSRNOG00000014851	Col4a4	DOID:783
A0A0G2K797	A0A0G2K797	ENSRNOG00000048630	Klk1c6	DOID:0050700|DOID:10763|DOID:5844|DOID:783|DOID:784
A0A0G2K7A5	A0A0G2K7A5	ENSRNOG00000051399	Col10a1	DOID:2256|DOID:90
A0A0G2K7B6	A0A0G2K7B6	ENSRNOG00000032788	Dysf	DOID:11720|DOID:9884
A0A0G2K7E1	A0A0G2K7E1	ENSRNOG00000039107	Mfrp	DOID:10584|DOID:10629
A0A0G2K7F0	A0A0G2K7F0	ENSRNOG00000056721	Fancm	DOID:5426
A0A0G2K7K3	A0A0G2K7K3	ENSRNOG00000060146	Six5	DOID:11722|DOID:14702
A0A0G2K7L2	A0A0G2K7L2	ENSRNOG00000023851	Igsf3	DOID:13929
A0A0G2K7N8	A0A0G2K7N8	ENSRNOG00000047296	Bptf	DOID:10652|DOID:332
A0A0G2K7X2	A0A0G2K7X2	ENSRNOG00000008145	Traf3	DOID:936
A0A0G2K7X7	A0A0G2K7X7	ENSRNOG00000061379	C7	DOID:10976|DOID:11832|DOID:5844
A0A0G2K889	A0A0G2K889	ENSRNOG00000007242	Ehmt1	DOID:3748
A0A0G2K897	A0A0G2K897	ENSRNOG00000057706	Kdm5c	DOID:12858|DOID:1612|DOID:5419
A0A0G2K8N1	A0A0G2K8N1	ENSRNOG00000058068	Obscn	DOID:12930
A0A0G2K929	A0A0G2K929	ENSRNOG00000056458	Cep290	DOID:2975
A0A0G2K975	A0A0G2K975	ENSRNOG00000042369	RGD1564614	DOID:0080600|DOID:11335|DOID:12554|DOID:1287|DOID:1407|DOID:1686|DOID:1749|DOID:3454|DOID:4448|DOID:5327|DOID:670|DOID:8893|DOID:8947|DOID:9074
A0A0G2K9D6	A0A0G2K9D6	ENSRNOG00000020804	Smarcc1	DOID:1925
A0A0G2K9D9	A0A0G2K9D9	ENSRNOG00000059715	Cc2d2a	DOID:1059
A0A0G2K9E5	A0A0G2K9E5	ENSRNOG00000004760	Lars2	DOID:700
A0A0G2K9J2	A0A0G2K9J2	ENSRNOG00000030862	Atp6v1h	DOID:11476
A0A0G2K9V0	A0A0G2K9V0	ENSRNOG00000054217	Runx3	DOID:11054|DOID:1612|DOID:1793|DOID:2152|DOID:2394|DOID:2871|DOID:3008|DOID:3969|DOID:4947|DOID:8719
A0A0G2KA14	A0A0G2KA14	ENSRNOG00000057378	Clec16a	DOID:13774|DOID:2377|DOID:7148|DOID:9744
A0A0G2KA99	A0A0G2KA99	NA	Aff2	DOID:14261
A0A0G2KAH3	A0A0G2KAH3	ENSRNOG00000016181	Tbx20	DOID:0050700|DOID:12930|DOID:1682
A0A0G2KAH7	A0A0G2KAH7	ENSRNOG00000008944	Ext2	DOID:206
A0A0G2KAQ5	A0A0G2KAQ5	ENSRNOG00000014815	Myoz2	DOID:0110322
A0A0G2KAT2	A0A0G2KAT2	ENSRNOG00000011823	Tfap2b	DOID:13550|DOID:13832|DOID:535
A0A0G2KAU4	A0A0G2KAU4	ENSRNOG00000032703	Rasgrp3	DOID:10763
A0A0G2KAW9	A0A0G2KAW9	ENSRNOG00000057284	Cenpb	DOID:12236
A0A0G2KB67	A0A0G2KB67	ENSRNOG00000021659	Acp4	DOID:2187
