ENSEMBL_ID	DO_ID
ENSG00000001626	DOID:1485
ENSG00000003400	DOID:10534
ENSG00000004848	DOID:14744
ENSG00000004939	DOID:2373
ENSG00000005339	DOID:1933
ENSG00000005471	DOID:1949
ENSG00000005961	DOID:2219
ENSG00000006468	DOID:3369
ENSG00000006744	DOID:10283
ENSG00000007312	DOID:2583
ENSG00000007314	DOID:14451|DOID:14452
ENSG00000007372	DOID:11975|DOID:12270|DOID:12271
ENSG00000008226	DOID:1324|DOID:5041
ENSG00000008311	DOID:9274
ENSG00000010404	DOID:12799
ENSG00000010671	DOID:14179|DOID:612
ENSG00000010704	DOID:2352|DOID:4346
ENSG00000012048	DOID:1612|DOID:2394
ENSG00000013619	DOID:10892
ENSG00000015133	DOID:10908
ENSG00000015285	DOID:1588|DOID:9169
ENSG00000015532	DOID:2738
ENSG00000019549	DOID:3263
ENSG00000021488	DOID:9266
ENSG00000021826	DOID:9280
ENSG00000023839	DOID:12308
ENSG00000026103	DOID:6688
ENSG00000027075	DOID:3526
ENSG00000034971	DOID:1068|DOID:11211
ENSG00000036473	DOID:9271
ENSG00000038532	DOID:9744
ENSG00000038945	DOID:10283|DOID:9206
ENSG00000039068	DOID:1380|DOID:2394
ENSG00000040531	DOID:1064
ENSG00000040608	DOID:5419
ENSG00000042317	DOID:10584
ENSG00000044524	DOID:9256
ENSG00000049167	DOID:2962
ENSG00000049541	DOID:1928
ENSG00000049618	DOID:1925
ENSG00000049860	DOID:3323
ENSG00000051180	DOID:1612
ENSG00000051341	DOID:1612
ENSG00000053524	DOID:9352
ENSG00000053918	DOID:2842|DOID:2843|DOID:9352
ENSG00000054983	DOID:10587
ENSG00000056972	DOID:2058
ENSG00000057593	DOID:2215
ENSG00000061337	DOID:5041
ENSG00000064012	DOID:1324
ENSG00000064490	DOID:5812
ENSG00000064692	DOID:14330
ENSG00000064835	DOID:9406|DOID:9410
ENSG00000065154	DOID:1415
ENSG00000065534	DOID:14004
ENSG00000066468	DOID:10591|DOID:12960|DOID:14705|DOID:14768|DOID:2339
ENSG00000066923	DOID:5426
ENSG00000066926	DOID:13270
ENSG00000067082	DOID:10283|DOID:10534
ENSG00000068078	DOID:11054|DOID:13481|DOID:4362|DOID:4480|DOID:5557|DOID:6498|DOID:9538
ENSG00000068305	DOID:3393
ENSG00000068724	DOID:14671
ENSG00000068976	DOID:2746
ENSG00000069011	DOID:11836
ENSG00000070018	DOID:3393
ENSG00000070061	DOID:11589
ENSG00000070814	DOID:2908
ENSG00000071243	DOID:5520
ENSG00000071462	DOID:1928
ENSG00000072210	DOID:14501
ENSG00000072694	DOID:9074
ENSG00000072786	DOID:5557
ENSG00000072840	DOID:12714
ENSG00000073578	DOID:3652
ENSG00000073584	DOID:4586
ENSG00000074181	DOID:13945
ENSG00000074803	DOID:445
ENSG00000075043	DOID:14264
ENSG00000075239	DOID:14723
ENSG00000076003	DOID:10604
ENSG00000076242	DOID:1380|DOID:9256
ENSG00000077150	DOID:12177
ENSG00000077782	DOID:14705
ENSG00000077943	DOID:14766
ENSG00000080503	DOID:5419
ENSG00000080815	DOID:11870|DOID:2280|DOID:9255
ENSG00000080819	DOID:13269
ENSG00000081248	DOID:14452
ENSG00000082074	DOID:1588
ENSG00000083093	DOID:1612
ENSG00000083123	DOID:9269
ENSG00000087266	DOID:1856
ENSG00000087460	DOID:1858|DOID:4184|DOID:9256
ENSG00000088926	DOID:2229
ENSG00000089063	DOID:14330
ENSG00000090006	DOID:11723
ENSG00000090534	DOID:2224
ENSG00000090776	DOID:14737
ENSG00000091140	DOID:9269
ENSG00000091262	DOID:2738
ENSG00000093010	DOID:0050741|DOID:5419
ENSG00000093072	DOID:13096
ENSG00000095002	DOID:1380|DOID:3883|DOID:9256
ENSG00000096093	DOID:4890
ENSG00000096968	DOID:11512|DOID:2224|DOID:4971|DOID:8997|DOID:9119
ENSG00000097007	DOID:8552
ENSG00000099949	DOID:3070|DOID:3204
ENSG00000099956	DOID:2129|DOID:3204
ENSG00000100285	DOID:332
ENSG00000100299	DOID:10581
ENSG00000100311	DOID:3507
ENSG00000100368	DOID:12120
ENSG00000100393	DOID:1933
ENSG00000100504	DOID:2754
ENSG00000100526	DOID:684
ENSG00000100697	DOID:4769
ENSG00000100714	DOID:9256
ENSG00000100836	DOID:11719
ENSG00000100987	DOID:10126
ENSG00000101076	DOID:9352
ENSG00000101200	DOID:12388
ENSG00000101384	DOID:6419|DOID:9245
ENSG00000101825	DOID:1324
ENSG00000101846	DOID:1700
ENSG00000101981	DOID:12259
ENSG00000101986	DOID:10588
ENSG00000102024	DOID:11476
ENSG00000102076	DOID:13910
ENSG00000102081	DOID:14261|DOID:5426
ENSG00000102119	DOID:11726
ENSG00000102145	DOID:1588
ENSG00000102302	DOID:6683
ENSG00000102312	DOID:2120
ENSG00000102393	DOID:14499
ENSG00000103126	DOID:684
ENSG00000103197	DOID:3319
ENSG00000103241	DOID:13042
ENSG00000103489	DOID:2738
ENSG00000104213	DOID:9256
ENSG00000104237	DOID:1172
ENSG00000104320	DOID:12449|DOID:1612|DOID:7400
ENSG00000104447	DOID:14743|DOID:4998
ENSG00000104774	DOID:3413
ENSG00000104884	DOID:2960
ENSG00000105220	DOID:2861
ENSG00000105221	DOID:9352
ENSG00000105329	DOID:4997
ENSG00000105369	DOID:2583
ENSG00000105372	DOID:1339
ENSG00000105392	DOID:10584
ENSG00000105722	DOID:2340
ENSG00000105929	DOID:14219
ENSG00000105974	DOID:14557
ENSG00000105976	DOID:4465|DOID:684
ENSG00000105983	DOID:1148
ENSG00000106331	DOID:1837|DOID:9352|DOID:9744
ENSG00000106410	DOID:5426
ENSG00000106462	DOID:14731
ENSG00000106571	DOID:1148|DOID:14761|DOID:9248
ENSG00000106617	DOID:384
ENSG00000106633	DOID:9352
ENSG00000106804	DOID:8158
ENSG00000106991	DOID:1270
ENSG00000106992	DOID:583
ENSG00000107104	DOID:10970
ENSG00000107186	DOID:10908
ENSG00000107187	DOID:9406
ENSG00000107521	DOID:3753
ENSG00000107537	DOID:10582
ENSG00000107611	DOID:13382
ENSG00000107789	DOID:3962
ENSG00000107796	DOID:13099|DOID:14004
ENSG00000107882	DOID:2512
ENSG00000107890	DOID:1588
ENSG00000108381	DOID:3613
ENSG00000108479	DOID:14695
ENSG00000108556	DOID:437
ENSG00000108576	DOID:0050741|DOID:10933|DOID:2030
ENSG00000108733	DOID:10582
ENSG00000108821	DOID:11476|DOID:12347|DOID:13359|DOID:14720|DOID:3507|DOID:4257
ENSG00000108839	DOID:5041|DOID:9256
ENSG00000108946	DOID:14669
ENSG00000109099	DOID:10595|DOID:12842
ENSG00000109323	DOID:3633
