pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url
443951	https://pubchem.ncbi.nlm.nih.gov/compound/443951	2601	https://drugcentral.org/drugcard/2601
443953	https://pubchem.ncbi.nlm.nih.gov/compound/443953	1051	https://drugcentral.org/drugcard/1051
443955	https://pubchem.ncbi.nlm.nih.gov/compound/443955	2828	https://drugcentral.org/drugcard/2828
443958	https://pubchem.ncbi.nlm.nih.gov/compound/443958	150	https://drugcentral.org/drugcard/150
443967	https://pubchem.ncbi.nlm.nih.gov/compound/443967	349	https://drugcentral.org/drugcard/349
443970	https://pubchem.ncbi.nlm.nih.gov/compound/443970	3316	https://drugcentral.org/drugcard/3316
443979	https://pubchem.ncbi.nlm.nih.gov/compound/443979	3034	https://drugcentral.org/drugcard/3034
443980	https://pubchem.ncbi.nlm.nih.gov/compound/443980	1198	https://drugcentral.org/drugcard/1198
444	https://pubchem.ncbi.nlm.nih.gov/compound/444	435	https://drugcentral.org/drugcard/435
4440	https://pubchem.ncbi.nlm.nih.gov/compound/4440	1884	https://drugcentral.org/drugcard/1884
444008	https://pubchem.ncbi.nlm.nih.gov/compound/444008	2655	https://drugcentral.org/drugcard/2655
444020	https://pubchem.ncbi.nlm.nih.gov/compound/444020	2845	https://drugcentral.org/drugcard/2845
444022	https://pubchem.ncbi.nlm.nih.gov/compound/444022	2539	https://drugcentral.org/drugcard/2539
444025	https://pubchem.ncbi.nlm.nih.gov/compound/444025	1611	https://drugcentral.org/drugcard/1611
444029	https://pubchem.ncbi.nlm.nih.gov/compound/444029	729	https://drugcentral.org/drugcard/729
444031	https://pubchem.ncbi.nlm.nih.gov/compound/444031	784	https://drugcentral.org/drugcard/784
444036	https://pubchem.ncbi.nlm.nih.gov/compound/444036	1225	https://drugcentral.org/drugcard/1225
444041	https://pubchem.ncbi.nlm.nih.gov/compound/444041	2971	https://drugcentral.org/drugcard/2971
444305	https://pubchem.ncbi.nlm.nih.gov/compound/444305	2566	https://drugcentral.org/drugcard/2566
44439	https://pubchem.ncbi.nlm.nih.gov/compound/44439	3568	https://drugcentral.org/drugcard/3568
444499	https://pubchem.ncbi.nlm.nih.gov/compound/444499	5229	https://drugcentral.org/drugcard/5229
44462760	https://pubchem.ncbi.nlm.nih.gov/compound/44462760	4801	https://drugcentral.org/drugcard/4801
44463	https://pubchem.ncbi.nlm.nih.gov/compound/44463	3713	https://drugcentral.org/drugcard/3713
44472635	https://pubchem.ncbi.nlm.nih.gov/compound/44472635	5311	https://drugcentral.org/drugcard/5311
444795	https://pubchem.ncbi.nlm.nih.gov/compound/444795	2722	https://drugcentral.org/drugcard/2722
4449	https://pubchem.ncbi.nlm.nih.gov/compound/4449	1890	https://drugcentral.org/drugcard/1890
444972	https://pubchem.ncbi.nlm.nih.gov/compound/444972	3229	https://drugcentral.org/drugcard/3229
4450	https://pubchem.ncbi.nlm.nih.gov/compound/4450	1891	https://drugcentral.org/drugcard/1891
44513473	https://pubchem.ncbi.nlm.nih.gov/compound/44513473	4896	https://drugcentral.org/drugcard/4896
445354	https://pubchem.ncbi.nlm.nih.gov/compound/445354	2831	https://drugcentral.org/drugcard/2831
445580	https://pubchem.ncbi.nlm.nih.gov/compound/445580	4289	https://drugcentral.org/drugcard/4289
4456	https://pubchem.ncbi.nlm.nih.gov/compound/4456	1897	https://drugcentral.org/drugcard/1897
445639	https://pubchem.ncbi.nlm.nih.gov/compound/445639	3400	https://drugcentral.org/drugcard/3400
44564	https://pubchem.ncbi.nlm.nih.gov/compound/44564	3325	https://drugcentral.org/drugcard/3325
445709	https://pubchem.ncbi.nlm.nih.gov/compound/445709	4539	https://drugcentral.org/drugcard/4539
44591583	https://pubchem.ncbi.nlm.nih.gov/compound/44591583	5201	https://drugcentral.org/drugcard/5201
44599207	https://pubchem.ncbi.nlm.nih.gov/compound/44599207	5326	https://drugcentral.org/drugcard/5326
44603531	https://pubchem.ncbi.nlm.nih.gov/compound/44603531	5081	https://drugcentral.org/drugcard/5081
446156	https://pubchem.ncbi.nlm.nih.gov/compound/446156	577	https://drugcentral.org/drugcard/577
446157	https://pubchem.ncbi.nlm.nih.gov/compound/446157	2406	https://drugcentral.org/drugcard/2406
446220	https://pubchem.ncbi.nlm.nih.gov/compound/446220	723	https://drugcentral.org/drugcard/723
446284	https://pubchem.ncbi.nlm.nih.gov/compound/446284	3174	https://drugcentral.org/drugcard/3174
4463	https://pubchem.ncbi.nlm.nih.gov/compound/4463	1904	https://drugcentral.org/drugcard/1904
44631912	https://pubchem.ncbi.nlm.nih.gov/compound/44631912	5218	https://drugcentral.org/drugcard/5218
4464271	https://pubchem.ncbi.nlm.nih.gov/compound/4464271	1410	https://drugcentral.org/drugcard/1410
446541	https://pubchem.ncbi.nlm.nih.gov/compound/446541	1860	https://drugcentral.org/drugcard/1860
446596	https://pubchem.ncbi.nlm.nih.gov/compound/446596	1857	https://drugcentral.org/drugcard/1857
446598	https://pubchem.ncbi.nlm.nih.gov/compound/446598	678	https://drugcentral.org/drugcard/678
44668	https://pubchem.ncbi.nlm.nih.gov/compound/44668	1432	https://drugcentral.org/drugcard/1432
446987	https://pubchem.ncbi.nlm.nih.gov/compound/446987	1243	https://drugcentral.org/drugcard/1243
447043	https://pubchem.ncbi.nlm.nih.gov/compound/447043	276	https://drugcentral.org/drugcard/276
4472	https://pubchem.ncbi.nlm.nih.gov/compound/4472	1907	https://drugcentral.org/drugcard/1907
4474	https://pubchem.ncbi.nlm.nih.gov/compound/4474	1909	https://drugcentral.org/drugcard/1909
4474062	https://pubchem.ncbi.nlm.nih.gov/compound/4474062	1182	https://drugcentral.org/drugcard/1182
4476	https://pubchem.ncbi.nlm.nih.gov/compound/4476	1911	https://drugcentral.org/drugcard/1911
4477	https://pubchem.ncbi.nlm.nih.gov/compound/4477	1912	https://drugcentral.org/drugcard/1912
447715	https://pubchem.ncbi.nlm.nih.gov/compound/447715	5155	https://drugcentral.org/drugcard/5155
44814423	https://pubchem.ncbi.nlm.nih.gov/compound/44814423	5270	https://drugcentral.org/drugcard/5270
4485	https://pubchem.ncbi.nlm.nih.gov/compound/4485	1922	https://drugcentral.org/drugcard/1922
448537	https://pubchem.ncbi.nlm.nih.gov/compound/448537	875	https://drugcentral.org/drugcard/875
4486	https://pubchem.ncbi.nlm.nih.gov/compound/4486	1923	https://drugcentral.org/drugcard/1923
4487	https://pubchem.ncbi.nlm.nih.gov/compound/4487	1924	https://drugcentral.org/drugcard/1924
4488	https://pubchem.ncbi.nlm.nih.gov/compound/4488	1925	https://drugcentral.org/drugcard/1925
448812	https://pubchem.ncbi.nlm.nih.gov/compound/448812	1040	https://drugcentral.org/drugcard/1040
449171	https://pubchem.ncbi.nlm.nih.gov/compound/449171	3862	https://drugcentral.org/drugcard/3862
449193	https://pubchem.ncbi.nlm.nih.gov/compound/449193	3531	https://drugcentral.org/drugcard/3531
4493	https://pubchem.ncbi.nlm.nih.gov/compound/4493	1933	https://drugcentral.org/drugcard/1933
4494	https://pubchem.ncbi.nlm.nih.gov/compound/4494	1934	https://drugcentral.org/drugcard/1934
4495	https://pubchem.ncbi.nlm.nih.gov/compound/4495	1935	https://drugcentral.org/drugcard/1935
4496	https://pubchem.ncbi.nlm.nih.gov/compound/4496	1936	https://drugcentral.org/drugcard/1936
449673	https://pubchem.ncbi.nlm.nih.gov/compound/449673	4775	https://drugcentral.org/drugcard/4775
449688	https://pubchem.ncbi.nlm.nih.gov/compound/449688	4635	https://drugcentral.org/drugcard/4635
449689	https://pubchem.ncbi.nlm.nih.gov/compound/449689	4551	https://drugcentral.org/drugcard/4551
4497	https://pubchem.ncbi.nlm.nih.gov/compound/4497	1937	https://drugcentral.org/drugcard/1937
4499	https://pubchem.ncbi.nlm.nih.gov/compound/4499	1942	https://drugcentral.org/drugcard/1942
450503	https://pubchem.ncbi.nlm.nih.gov/compound/450503	4455	https://drugcentral.org/drugcard/4455
450510	https://pubchem.ncbi.nlm.nih.gov/compound/450510	4578	https://drugcentral.org/drugcard/4578
45052276	https://pubchem.ncbi.nlm.nih.gov/compound/45052276	5198	https://drugcentral.org/drugcard/5198
45055432	https://pubchem.ncbi.nlm.nih.gov/compound/45055432	4427	https://drugcentral.org/drugcard/4427
4506	https://pubchem.ncbi.nlm.nih.gov/compound/4506	1945	https://drugcentral.org/drugcard/1945
450601	https://pubchem.ncbi.nlm.nih.gov/compound/450601	5153	https://drugcentral.org/drugcard/5153
4507	https://pubchem.ncbi.nlm.nih.gov/compound/4507	1947	https://drugcentral.org/drugcard/1947
4510	https://pubchem.ncbi.nlm.nih.gov/compound/4510	1952	https://drugcentral.org/drugcard/1952
4513	https://pubchem.ncbi.nlm.nih.gov/compound/4513	1955	https://drugcentral.org/drugcard/1955
45138674	https://pubchem.ncbi.nlm.nih.gov/compound/45138674	5262	https://drugcentral.org/drugcard/5262
4514	https://pubchem.ncbi.nlm.nih.gov/compound/4514	1956	https://drugcentral.org/drugcard/1956
451415	https://pubchem.ncbi.nlm.nih.gov/compound/451415	80	https://drugcentral.org/drugcard/80
451417	https://pubchem.ncbi.nlm.nih.gov/compound/451417	2645	https://drugcentral.org/drugcard/2645
451448	https://pubchem.ncbi.nlm.nih.gov/compound/451448	3582	https://drugcentral.org/drugcard/3582
451668	https://pubchem.ncbi.nlm.nih.gov/compound/451668	790	https://drugcentral.org/drugcard/790
